AA - ARMED FORCES AMERICAS
AE - ARMED FORCES EUROPE
AP - ARMED FORCES PACIFIC
AB - ALBERTA
AL - ALABAMA
AK - ALASKA
AZ - ARIZONA
AR - ARKANSAS
BC - BRITISH COLUMBIA
CA - CALIFORNIA
CO - COLORADO
CT - CONNECTICUT
DC - D.C.
DE - DELAWARE
FL - FLORIDA
GA - GEORGIA
HI - HAWAII
ID - IDAHO
IL - ILLINOIS
IN - INDIANA
IA - IOWA
KS - KANSAS
KY - KENTUCKY
LA - LOUISIANA
MB - MANITOBA
ME - MAINE
MD - MARYLAND
MA - MASSACHUSETTS
MI - MICHIGAN
MN - MINNESOTA
MS - MISSISSIPPI
MO - MISSOURI
MT - MONTANA
NB - NEW BRUNSWICK
NE - NEBRASKA
NL - NEWFOUNDLAND AND LABRADOR
NS - NOVA SCOTIA
NU - NUNAVUT
NV - NEVADA
NH - NEW HAMPSHIRE
NJ - NEW JERSEY
NT - NORTHWEST TERRITORIES
NM - NEW MEXICO
NY - NEW YORK
NC - NORTH CAROLINA
ND - NORTH DAKOTA
OH - OHIO
OK - OKLAHOMA
ON - ONTARIO
OR - OREGON
PA - PENNSYLVANIA
PE - PRINCE EDWARD ISLAND
QC - QUEBEC
RI - RHODE ISLAND
SC - SOUTH CAROLINA
SK - SASKATCHEWAN
SD - SOUTH DAKOTA
TN - TENNESSEE
TX - TEXAS
UT - UTAH
VT - VERMONT
VA - VIRGINIA
WA - WASHINGTON
WV - WEST VIRGINIA
WI - WISCONSIN
WY - WYOMING
YT - YUKON
